#Energy data:
#X,Y,Z,Energy
1.31363,-2.12472,42.4998,0.143257
1.28701,-2.0723,42.9998,2.8825e-32
1.19303,-2.06568,43.4998,0.157411
1.09906,-2.05906,43.9998,2.92018e-32
0.972821,-2.09381,44.4998,0.156626
0.846585,-2.12856,44.9998,2.97232e-32
0.700529,-2.21206,45.4998,0.20288
0.554472,-2.29557,45.9998,2.93868e-32
0.400665,-2.27586,46.4998,0.134158
0.246859,-2.25615,46.9998,3.03371e-32
0.0564731,-2.17095,47.4998,0.144736
-0.133912,-2.08575,47.9998,3.0292e-32
-0.317476,-1.98312,48.4998,0.133928
-0.501039,-1.88049,48.9998,3.10882e-32
-0.691155,-1.7213,49.4998,0.171592
-0.881272,-1.56211,49.9998,3.07314e-32
-1.00015,-1.35649,50.4998,0.174886
-1.11904,-1.15087,50.9998,3.20176e-32
-1.26733,-0.900063,51.4998,0.14494
-1.41562,-0.649259,51.9998,2.9424e-32
-1.47154,-0.472231,52.4998,0.306348
-1.52746,-0.295204,52.9998,2.87766e-32
-1.55425,-0.138042,53.4998,0.184522
-1.58103,0.0191197,53.9998,2.83322e-32
-1.68837,0.105154,54.4998,0.171085
-1.79571,0.191188,54.9998,2.84259e-32
-1.8946,0.304002,55.4998,0.173536
-1.9935,0.416816,55.9998,2.95487e-32
-1.93951,0.625275,56.4998,0.14563
-1.88552,0.833733,56.9998,2.97527e-32
-1.70853,0.977474,57.4998,0.162153
-1.53154,1.12121,57.9998,3.13742e-32
-1.24125,1.06465,58.4998,0.166427
-0.95095,1.0081,58.9998,3.22879e-32
-0.74317,0.751701,59.4998,0.150015
-0.53539,0.495307,59.9998,3.2645e-32
-0.45924,0.160531,60.4998,0.178998
-0.38309,-0.174245,60.9998,2.69015e-32
-0.385237,-0.170579,61.4998,0.206333
-0.387384,-0.166912,61.9998,3.12265e-32
-0.53195,0.087353,62.4998,0.266762
-0.676516,0.341618,62.9998,3.02267e-32
-0.445833,0.34783,63.3059,0.125621
-0.00175593,0.361478,63.8021,0.172785
0.214296,0.370742,63.996,0.00355848
0.216954,0.372571,63.9998,3.70303e-32
0.315256,0.468054,64.1151,0.061244
0.489185,0.639726,64.373,0.0519704
0.671908,0.725512,64.6673,0.0766944
0.855699,0.708347,64.9094,0.032669
0.932396,0.681585,64.9998,3.40653e-32
0.986309,0.66994,65.0671,0.0266114
1.05605,0.658155,65.2125,0.030221
1.09903,0.704148,65.3378,0.0251002
1.18027,0.837117,65.4206,0.0520854
1.28982,1.05643,65.4583,0.0447013
1.29896,1.29699,65.438,0.0392655
1.25502,1.54316,65.4069,0.054394
1.22295,1.7807,65.383,0.0484976
1.19554,1.94845,65.2622,0.0638325
1.1887,2.05116,65.0924,0.0419457
1.15842,2.09623,65.014,0.0124381
1.14199,2.10689,64.9998,3.76082e-31
1.13787,2.11253,64.9995,0.00457449
1.13214,2.12459,64.9994,0.00320447
1.13045,2.13156,64.9997,0.000953691
1.13038,2.13211,64.9998,2.6636e-31
1.13062,2.13757,65.0006,0.00169799
1.13066,2.14884,65.0006,0.00387114
1.12986,2.16014,65.0005,0.00402128
1.1292,2.17116,65.0022,0.00332877
1.12715,2.18276,65.0042,0.00250712
1.12445,2.19369,65.005,0.000900666
1.12228,2.20397,65.0042,0.00335013
1.12049,2.21461,65.0022,0.00266224
1.12027,2.22198,65.0003,0.000915404
1.12035,2.22414,64.9998,1.45394e-31
1.12062,2.22788,64.9978,0.00339727
1.12008,2.23436,64.9918,0.0356349
1.11921,2.23903,64.9842,0.00320723
1.12205,2.24586,64.9776,0.00620077
1.12361,2.25522,64.969,0.00625244
1.11777,2.26184,64.9563,0.010713
1.10773,2.26913,64.9425,0.0135002
1.09743,2.27118,64.931,0.0397984
0.000977039,0.00129852,276.97,0.00684313
0.0019541,0.00259707,277,2.92731e-32
0.0286161,0.0321352,277.5,0.158104
0.0552781,0.0616734,278,2.91761e-32
0.0813435,0.078914,278.5,0.215774
0.107409,0.0961545,279,2.90705e-32
0.129401,0.0836325,279.5,0.146125
0.151393,0.0711105,280,2.94087e-32
0.235811,0.0503286,280.5,0.221014
0.320229,0.0295468,281,2.89709e-32
0.341581,0.0624487,281.5,0.140386
0.362934,0.0953506,282,2.9168e-32
0.407242,0.170174,282.437,0.115079
0.45802,0.250378,282.937,0.0145258
0.46449,0.255758,283,2.87995e-32
0.511304,0.281281,283.5,0.138622
0.558118,0.306804,284,2.94199e-32
0.562088,0.429288,284.5,0.118347
0.566059,0.551771,285,2.85897e-32
0.578844,0.584415,285.5,0.220551
0.59163,0.617058,286,2.87625e-32
0.669946,0.615655,286.5,0.150696
0.748262,0.614252,287,3.26796e-32
0.994312,0.761906,287.5,0.223428
1.24036,0.909559,288,3.80803e-32
1.6383,1.12503,288.5,0.217581
2.03623,1.34049,289,4.6462e-32
2.55917,1.73901,289.5,0.260221
3.08211,2.13752,290,4.19179e-32
3.37325,2.61282,290.5,0.216957
3.6644,3.08812,291,6.05443e-32
4.09804,3.94908,291.5,0.36522
4.53169,4.81003,292,3.3627e-32
4.56598,5.15329,292.5,0.161769
5.39094,7.2805,292.5,0.720303
6.1816,9.06446,292,5.50905e-31
6.28393,11.0103,291.927,0.698068
6.42746,13.057,291.927,0.0334588
6.46866,13.1579,292,5.66534e-32
6.82494,13.9574,292.456,0.318505
7.23699,14.7774,292.956,0.0236581
7.29277,14.7979,293,4.34728e-32
7.90641,14.956,293.5,0.304508
8.65071,15.3447,293.694,0.115416
8.91919,15.6262,293.194,0.196098
9.05702,15.6769,293,2.98685e-32
9.11609,15.6346,292.848,0.0514962
9.30525,15.5789,292.549,0.0751462
9.56545,15.6149,292.266,0.0588551
9.75153,15.7496,292.065,0.0358462
9.8075,15.8349,292,4.22763e-32
9.86233,15.8652,291.917,0.0361756
9.93117,15.9109,291.752,0.0226576
9.94324,15.9741,291.579,0.0319859
9.89909,16.0506,291.364,0.0461356
9.85559,16.1389,291.171,0.0352849
9.84854,16.2325,291.051,0.0178076
9.84277,16.2665,291,3.70715e-32
9.83705,16.294,290.963,0.0195576
9.82735,16.3403,290.887,0.014465
9.82283,16.3589,290.804,0.0147829
9.82486,16.3706,290.697,0.0171021
9.78837,16.4057,290.53,0.0365788
9.66824,16.5428,290.437,0.0612358
9.49579,16.7109,290.492,0.0516767
9.29895,16.8123,290.58,0.101736
9.19481,16.8767,290.661,0.105445
-0.000619213,0.00554317,489.917,0.0244239
-0.00123842,0.0110864,490,2.95767e-32
0.00467569,0.0496797,490.5,0.118056
0.0105898,0.088273,491,2.9811e-32
0.0414527,0.161087,491.5,0.125828
0.0723157,0.2339,492,3.04116e-32
0.100112,0.363256,492.5,0.140404
0.127908,0.492612,493,3.05682e-32
0.154262,0.635853,493.5,0.167187
0.180617,0.779094,494,2.99282e-32
0.19204,0.883721,494.5,0.255153
0.203464,0.988348,495,2.97327e-32
0.182117,1.08288,495.5,0.146832
0.160771,1.17741,496,2.97152e-32
0.153401,1.27766,496.5,0.152787
0.146032,1.3779,497,2.92787e-32
0.176191,1.42945,497.5,0.331738
0.20635,1.48099,498,3.05337e-32
0.0395667,1.458,498.5,0.159917
-0.127217,1.435,499,3.12835e-32
-0.335654,1.42538,499.5,0.170558
-0.544092,1.41576,500,3.29722e-32
-0.026658,0.0332626,47.3291,0.117749
-0.0560023,0.0853775,47.801,0.054924
-0.0586884,0.10423,47.9998,2.94406e-32
-0.0547102,0.188949,48.4998,0.161092
-0.0507319,0.273668,48.9998,2.90359e-32
-0.0583912,0.308988,49.4998,0.169916
-0.0660506,0.344309,49.9998,2.91479e-32
-0.128864,0.367617,50.4998,0.13853
-0.191677,0.390926,50.9998,2.90103e-32
-0.247398,0.387346,51.4998,0.122334
-0.30312,0.383766,51.9998,2.91284e-32
-0.373528,0.349718,52.4998,0.195317
-0.443937,0.31567,52.9998,2.89687e-32
-0.467069,0.250139,53.4998,0.219159
-0.490201,0.184609,53.9998,2.88463e-32
-0.434117,0.148886,54.4998,0.145159
-0.378033,0.113163,54.9998,2.89389e-32
-0.297033,0.139529,55.4998,0.131555
-0.216034,0.165895,55.9998,2.86234e-32
-0.163593,0.162064,56.4998,0.173994
-0.111152,0.158232,56.9998,2.91889e-32
-0.0401258,0.0615954,57.4998,0.165955
0.0309006,-0.0350415,57.9998,2.95539e-32
0.0716048,-0.179687,58.4998,0.422661
0.112309,-0.324332,58.9998,2.87485e-32
0.115931,-0.433007,59.4998,0.178744
0.119554,-0.541682,59.9998,2.84667e-32
0.176994,-0.613166,60.4998,0.131648
0.234435,-0.684649,60.9998,2.80876e-32
0.270331,-0.64553,61.4998,0.129403
0.306228,-0.60641,61.9998,2.94749e-32
0.400187,-0.461649,62.4998,0.129617
0.494146,-0.316888,62.9998,2.91944e-32
0.648927,-0.273233,63.4998,0.293019
0.803707,-0.229578,63.9998,2.86555e-32
0.937802,-0.200045,64.4998,0.188431
1.0719,-0.170512,64.9998,2.91611e-32
1.22078,-0.261903,65.4998,0.228152
1.36965,-0.353294,65.9998,2.93415e-32
1.49776,-0.495318,66.4998,0.202729
1.62587,-0.637341,66.9998,2.74245e-32
1.67232,-0.651605,67.4998,0.149264
1.71878,-0.66587,67.9998,3.08506e-32
1.49753,-0.516698,68.4998,0.148121
1.27628,-0.367526,68.9998,2.89694e-32
1.11895,-0.267356,69.4998,0.35262
0.961622,-0.167186,69.9998,2.70799e-32
0.922353,-0.155868,70.4998,0.136346
0.883085,-0.14455,70.9998,2.71897e-32
0.94544,-0.170394,71.4998,0.14878
1.0078,-0.196238,71.9998,2.7302e-32
1.08323,-0.155741,72.4998,0.262521
1.15865,-0.115244,72.9998,3.11223e-32
0.998362,0.126858,73.4998,0.195169
0.83807,0.36896,73.9998,4.39689e-32
0.509515,0.76156,74.3484,0.274782
-0.138613,1.55908,74.8484,0.217072
-0.587125,2.0609,74.9774,0.04466
-0.862521,2.22555,74.8384,0.0581476
-1.18799,2.26584,74.6,0.113486
-1.49899,2.09511,74.5107,0.0596475
-1.77815,1.81663,74.4505,0.116763
-1.93932,1.50321,74.3876,0.057632
-1.87423,1.19071,74.4059,0.0891762
-1.74215,0.887877,74.4703,0.12375
-1.69819,0.642448,74.5402,0.154295
0.00735093,0.00354877,292.771,0.0540303
0.0147018,0.00709752,293,2.82133e-32
0.00121166,0.00427564,293.134,0.0345026
-0.021879,-0.0100128,293.634,0.221476
-0.0314796,-0.0214793,294,2.85036e-32
-0.124254,0.0140616,294.5,0.146956
-0.217028,0.0496025,295,2.83811e-32
-0.31218,0.0443347,295.5,0.14779
-0.407331,0.0390669,296,2.94708e-32
-0.552148,-0.0608407,296.5,0.165561
-0.696966,-0.160748,297,2.91124e-32
-0.844704,-0.224908,297.5,0.140138
-0.992442,-0.289068,298,2.94473e-32
-1.12726,-0.414445,298.5,0.139414
-1.26209,-0.539822,299,2.93601e-32
-1.40651,-0.653521,299.5,0.144366
-1.55093,-0.767221,300,2.75137e-32
-1.57363,-0.755675,300.5,0.139407
-1.59634,-0.74413,301,2.88255e-32
-1.67374,-0.600421,301.5,0.15783
-1.75115,-0.456713,302,2.76359e-32
-1.67654,-0.439356,302.5,0.177645
-1.60193,-0.422,303,2.96331e-32
-1.39033,-0.384046,303.5,0.181701
-1.17872,-0.346093,304,3.15137e-32
-0.885895,-0.307012,304.5,0.150798
-0.593071,-0.267932,305,3.29775e-32
-0.246953,-0.229991,305.5,0.178859
0.0991654,-0.192049,306,3.00901e-32
0.299503,-0.0485634,306.5,0.153027
0.499841,0.0949217,307,3.10028e-32
0.746836,0.236572,307.5,0.220059
0.993832,0.378222,308,3.23038e-32
1.27819,0.550455,308.5,0.186377
1.56254,0.722689,309,4.41517e-32
2.0827,1.11257,309.5,0.305707
2.60301,1.50261,310,2.62108e-05
2.60315,1.50278,310,5.62603e-32
3.01473,1.7564,310.216,0.156383
3.92843,2.13596,310.345,0.141939
4.78171,2.19666,310.516,0.176532
