#Energy data:
#X,Y,Z,Energy
1.93096,4.03671,8.49976,1.25432
2.07309,4.32605,8.99976,1.94424e-31
2.21961,4.61799,9.49976,1.24136
2.36614,4.90992,9.99976,1.97681e-31
2.50844,5.2032,10.4998,1.19986
2.65074,5.49647,10.9998,2.01272e-31
2.79079,5.79199,11.4998,1.40077
2.93085,6.08751,11.9998,2.0657e-31
3.07426,6.38817,12.4998,1.29275
3.21767,6.68882,12.9998,2.10313e-31
3.36117,6.98781,13.4998,1.56939
3.50467,7.28679,13.9998,2.15037e-31
3.64987,7.58271,14.4998,1.44807
3.79507,7.87862,14.9998,2.20705e-31
3.94009,8.17848,15.4998,1.71079
4.0851,8.47833,15.9998,2.28506e-31
4.23474,8.78433,16.4998,1.56654
4.38438,9.09032,16.9998,2.35284e-31
4.53078,9.4015,17.4998,1.18195
4.67718,9.71268,17.9998,2.4019e-31
4.82412,10.024,18.4998,1.58611
4.97105,10.3352,18.9998,2.47659e-31
5.12019,10.6484,19.4998,1.72132
5.26934,10.9615,19.9998,2.53244e-31
5.41933,11.2628,20.4998,1.63831
5.56932,11.5641,20.9998,2.61193e-31
5.7189,11.8647,21.4998,1.6732
5.86848,12.1653,21.9998,2.6945e-31
6.01811,12.4627,22.4998,1.91628
6.16775,12.7601,22.9998,2.80133e-31
6.31834,13.055,23.4998,1.78857
6.46893,13.35,23.9998,2.89863e-31
6.61751,13.6393,24.4998,1.73355
6.7661,13.9286,24.9998,3.03495e-31
6.91535,14.2247,25.4998,1.98942
7.06459,14.5209,25.9998,3.17658e-31
7.21871,14.8112,26.4998,1.94746
7.37282,15.1015,26.9998,3.33505e-31
7.52628,15.39,27.4998,1.89046
7.67973,15.6785,27.9998,3.50043e-31
7.81269,15.9723,28.4998,1.99616
7.94565,16.2661,28.9998,3.75831e-31
8.05866,16.5819,29.4998,2.43347
8.17166,16.8978,29.9998,4.02108e-31
8.27456,17.2054,30.4998,2.48546
8.37745,17.513,30.9998,4.40069e-31
8.47973,17.8243,31.4998,2.96225
8.58202,18.1356,31.9998,4.93927e-31
8.6754,18.414,32.4517,2.77523
8.77792,18.7221,32.9517,0.371061
8.78705,18.7518,32.9998,5.73211e-31
8.85483,18.973,33.3516,2.63856
8.95383,19.2853,33.8516,1.16932
8.98505,19.3764,33.9998,7.10556e-31
9.03657,19.5319,34.2505,2.3371
9.12533,19.8126,34.6984,2.01727
9.17266,19.9735,34.9476,0.574712
9.18275,20.009,34.9998,1.0991e-30
9.21537,20.1137,35.1388,1.92342
9.2724,20.2997,35.3885,1.80774
9.31744,20.4438,35.5855,2.04079
9.34942,20.5473,35.7298,2.29553
9.36249,20.5937,35.7957,0.728457
9.3644,20.5999,35.8043,0.0613454
9.36463,20.601,35.8056,0.0672997
0.29477,3.70882,233.022,1.98215
0.293499,3.71963,233.01,3.35868
0.292665,3.73062,233,7.48284e-29
0.292509,3.73375,232.997,1.82761
-43.9569,122.586,498.112,0.00053728
-44.0097,122.683,498.231,0.0628243
-40.1812,114.571,487.834,0.000845292
74.9107,47.2482,380.968,0.00566489
75.4952,49.4367,378.181,0.0114581
